objectId,inSize,totalTime,generated
o56009,812,113,True
o27836,813,128,True
o12489,813,117,True
o54575,814,125,False
o37724,814,117,True
o83738,815,113,True
o71846,815,124,True
o64825,815,115,True
o63365,815,111,True
o27356,816,118,True
o81530,817,114,True
o59670,817,111,True
o44344,817,115,True
o32487,817,111,True
o26982,817,124,True
o88675,818,117,True
o39176,818,116,True
o45164,819,113,True
o4258,819,114,True
o81532,820,113,True
o14464,820,114,True
o73020,821,113,True
o9893,822,204,True
o21500,823,115,True
o65941,824,112,True
o73993,825,114,True
o45174,825,115,True
o43222,825,114,True
o32481,825,114,True
o78457,826,112,True
o64869,827,115,True
o60123,827,125,True
o20478,827,123,True
o13985,827,117,True
o76630,829,117,True
o41640,829,113,True
o39452,829,117,True
o62759,830,113,True
o28194,831,114,True
o22453,831,116,True
o54556,832,113,True
o3545,832,124,True
o42159,833,112,True
o67682,834,114,True
o73969,835,113,True
o7350,835,118,True
o31112,835,115,True
o12215,835,112,True
o68334,836,123,True
o12626,836,114,True
o12070,836,113,True
o9703,837,118,True
o12381,837,126,True
o12176,837,129,True
o83141,838,123,True
o76742,838,125,True
o54543,839,127,True
o47837,839,115,True
o12629,839,115,True
o70012,840,116,True
o64614,840,115,True
o27350,840,113,True
o12069,840,118,True
o9933,842,115,True
o9811,842,116,True
o71556,842,114,True
o78064,843,121,True
o29394,843,118,True
o91014,844,120,True
